category_a,category_b,pearson_r,cat_a_uplift,cat_b_uplift,cat_a_archetype,cat_b_archetype,cat_a_cluster,cat_b_cluster
Negotiation,Code Review,0.4110,-0.0232,0.0562,open_ended,relay,team-neutral,team-neutral
Negotiation,Testing,0.5151,-0.0232,0.0501,open_ended,open_ended,team-neutral,team-neutral
Negotiation,Long-Horizon,,-0.0232,0.0467,open_ended,synthesis,team-neutral,team-neutral
Negotiation,Specification,-0.2213,-0.0232,0.0307,open_ended,synthesis,team-neutral,team-neutral
Negotiation,Information Retrieval,-0.0989,-0.0232,0.0087,open_ended,discovery,team-neutral,team-neutral
Negotiation,Operations,0.0415,-0.0232,0.0011,open_ended,relay,team-neutral,team-neutral
Negotiation,Adversarial,0.3984,-0.0232,-0.0016,open_ended,adversarial,team-neutral,team-neutral
Negotiation,Negotiation,1.0000,-0.0232,-0.0232,open_ended,open_ended,team-neutral,team-neutral
Negotiation,Security,0.1132,-0.0232,-0.0286,open_ended,adversarial,team-neutral,team-neutral
Negotiation,Cross-System,-0.1212,-0.0232,-0.0543,open_ended,adversarial,team-neutral,team-neutral
Negotiation,Pipeline,0.1026,-0.0232,-0.0658,open_ended,relay,team-neutral,team-neutral
Negotiation,Incident Response,0.2140,-0.0232,-0.0796,open_ended,discovery,team-neutral,team-neutral
Negotiation,Data Engineering,0.1168,-0.0232,-0.0928,open_ended,relay,team-neutral,team-neutral
Negotiation,Software Eng.,0.6577,-0.0232,-0.1203,open_ended,relay,team-neutral,team-neutral
Negotiation,Integration,,-0.0232,-0.3000,open_ended,relay,team-neutral,team-negative
Negotiation,DB,,-0.0232,-0.5000,open_ended,relay,team-neutral,team-negative
Negotiation,DEVOPS,,-0.0232,-0.7500,open_ended,relay,team-neutral,team-negative
Negotiation,API,,-0.0232,-1.0000,open_ended,relay,team-neutral,team-negative
Security,DS,,-0.0286,0.7267,adversarial,relay,team-neutral,team-positive
Security,ML,,-0.0286,0.5462,adversarial,relay,team-neutral,team-moderate
Security,Policy,0.2053,-0.0286,0.1105,adversarial,open_ended,team-neutral,team-neutral
Security,GH,0.7683,-0.0286,0.0962,adversarial,relay,team-neutral,team-neutral
Security,Multi-language,-0.1506,-0.0286,0.0640,adversarial,synthesis,team-neutral,team-neutral
Security,Distributed,0.3132,-0.0286,0.0567,adversarial,synthesis,team-neutral,team-neutral
Security,Code Review,0.5639,-0.0286,0.0562,adversarial,relay,team-neutral,team-neutral
Security,Testing,0.4577,-0.0286,0.0501,adversarial,open_ended,team-neutral,team-neutral
Security,Long-Horizon,,-0.0286,0.0467,adversarial,synthesis,team-neutral,team-neutral
Security,Specification,0.1579,-0.0286,0.0307,adversarial,synthesis,team-neutral,team-neutral
Security,Information Retrieval,0.0126,-0.0286,0.0087,adversarial,discovery,team-neutral,team-neutral
Security,Operations,-0.0124,-0.0286,0.0011,adversarial,relay,team-neutral,team-neutral
Security,Adversarial,0.3045,-0.0286,-0.0016,adversarial,adversarial,team-neutral,team-neutral
Security,Negotiation,0.1132,-0.0286,-0.0232,adversarial,open_ended,team-neutral,team-neutral
Security,Security,1.0000,-0.0286,-0.0286,adversarial,adversarial,team-neutral,team-neutral
Security,Cross-System,0.7064,-0.0286,-0.0543,adversarial,adversarial,team-neutral,team-neutral
Security,Pipeline,0.1595,-0.0286,-0.0658,adversarial,relay,team-neutral,team-neutral
Security,Incident Response,0.4292,-0.0286,-0.0796,adversarial,discovery,team-neutral,team-neutral
Security,Data Engineering,0.7180,-0.0286,-0.0928,adversarial,relay,team-neutral,team-neutral
Security,Software Eng.,0.5559,-0.0286,-0.1203,adversarial,relay,team-neutral,team-neutral
Security,Integration,,-0.0286,-0.3000,adversarial,relay,team-neutral,team-negative
Security,DB,,-0.0286,-0.5000,adversarial,relay,team-neutral,team-negative
Security,DEVOPS,,-0.0286,-0.7500,adversarial,relay,team-neutral,team-negative
Security,API,,-0.0286,-1.0000,adversarial,relay,team-neutral,team-negative
Cross-System,DS,,-0.0543,0.7267,adversarial,relay,team-neutral,team-positive
Cross-System,ML,,-0.0543,0.5462,adversarial,relay,team-neutral,team-moderate
Cross-System,Policy,-0.2531,-0.0543,0.1105,adversarial,open_ended,team-neutral,team-neutral
Cross-System,GH,0.5312,-0.0543,0.0962,adversarial,relay,team-neutral,team-neutral
Cross-System,Multi-language,0.0112,-0.0543,0.0640,adversarial,synthesis,team-neutral,team-neutral
Cross-System,Distributed,0.2194,-0.0543,0.0567,adversarial,synthesis,team-neutral,team-neutral
Cross-System,Code Review,0.5754,-0.0543,0.0562,adversarial,relay,team-neutral,team-neutral
Cross-System,Testing,0.0065,-0.0543,0.0501,adversarial,open_ended,team-neutral,team-neutral
Cross-System,Long-Horizon,,-0.0543,0.0467,adversarial,synthesis,team-neutral,team-neutral
Cross-System,Specification,-0.1881,-0.0543,0.0307,adversarial,synthesis,team-neutral,team-neutral
Cross-System,Information Retrieval,-0.0329,-0.0543,0.0087,adversarial,discovery,team-neutral,team-neutral
Cross-System,Operations,-0.0927,-0.0543,0.0011,adversarial,relay,team-neutral,team-neutral
Cross-System,Adversarial,0.0526,-0.0543,-0.0016,adversarial,adversarial,team-neutral,team-neutral
Cross-System,Negotiation,-0.1212,-0.0543,-0.0232,adversarial,open_ended,team-neutral,team-neutral
Cross-System,Security,0.7064,-0.0543,-0.0286,adversarial,adversarial,team-neutral,team-neutral
Cross-System,Cross-System,1.0000,-0.0543,-0.0543,adversarial,adversarial,team-neutral,team-neutral
Cross-System,Pipeline,-0.2152,-0.0543,-0.0658,adversarial,relay,team-neutral,team-neutral
Cross-System,Incident Response,0.1330,-0.0543,-0.0796,adversarial,discovery,team-neutral,team-neutral
Cross-System,Data Engineering,0.2801,-0.0543,-0.0928,adversarial,relay,team-neutral,team-neutral
Cross-System,Software Eng.,0.9942,-0.0543,-0.1203,adversarial,relay,team-neutral,team-neutral
Cross-System,Integration,,-0.0543,-0.3000,adversarial,relay,team-neutral,team-negative
Cross-System,DB,,-0.0543,-0.5000,adversarial,relay,team-neutral,team-negative
Cross-System,DEVOPS,,-0.0543,-0.7500,adversarial,relay,team-neutral,team-negative
Cross-System,API,,-0.0543,-1.0000,adversarial,relay,team-neutral,team-negative
Pipeline,DS,,-0.0658,0.7267,relay,relay,team-neutral,team-positive
Pipeline,ML,,-0.0658,0.5462,relay,relay,team-neutral,team-moderate
Pipeline,Policy,0.2606,-0.0658,0.1105,relay,open_ended,team-neutral,team-neutral
Pipeline,GH,-0.9403,-0.0658,0.0962,relay,relay,team-neutral,team-neutral
Pipeline,Multi-language,-0.1324,-0.0658,0.0640,relay,synthesis,team-neutral,team-neutral
Pipeline,Distributed,0.2308,-0.0658,0.0567,relay,synthesis,team-neutral,team-neutral
Pipeline,Code Review,0.1235,-0.0658,0.0562,relay,relay,team-neutral,team-neutral
Pipeline,Testing,0.4741,-0.0658,0.0501,relay,open_ended,team-neutral,team-neutral
Pipeline,Long-Horizon,,-0.0658,0.0467,relay,synthesis,team-neutral,team-neutral
Pipeline,Specification,0.1617,-0.0658,0.0307,relay,synthesis,team-neutral,team-neutral
Pipeline,Information Retrieval,0.3216,-0.0658,0.0087,relay,discovery,team-neutral,team-neutral
Pipeline,Operations,0.2823,-0.0658,0.0011,relay,relay,team-neutral,team-neutral
Pipeline,Adversarial,0.4641,-0.0658,-0.0016,relay,adversarial,team-neutral,team-neutral
Pipeline,Negotiation,0.1026,-0.0658,-0.0232,relay,open_ended,team-neutral,team-neutral
Pipeline,Security,0.1595,-0.0658,-0.0286,relay,adversarial,team-neutral,team-neutral
Pipeline,Cross-System,-0.2152,-0.0658,-0.0543,relay,adversarial,team-neutral,team-neutral
Pipeline,Pipeline,1.0000,-0.0658,-0.0658,relay,relay,team-neutral,team-neutral
Pipeline,Incident Response,0.6500,-0.0658,-0.0796,relay,discovery,team-neutral,team-neutral
Pipeline,Data Engineering,0.1787,-0.0658,-0.0928,relay,relay,team-neutral,team-neutral
Pipeline,Software Eng.,0.7869,-0.0658,-0.1203,relay,relay,team-neutral,team-neutral
Pipeline,Integration,,-0.0658,-0.3000,relay,relay,team-neutral,team-negative
Pipeline,DB,,-0.0658,-0.5000,relay,relay,team-neutral,team-negative
Pipeline,DEVOPS,,-0.0658,-0.7500,relay,relay,team-neutral,team-negative
Pipeline,API,,-0.0658,-1.0000,relay,relay,team-neutral,team-negative
Incident Response,DS,,-0.0796,0.7267,discovery,relay,team-neutral,team-positive
Incident Response,ML,,-0.0796,0.5462,discovery,relay,team-neutral,team-moderate
Incident Response,Policy,0.3761,-0.0796,0.1105,discovery,open_ended,team-neutral,team-neutral
Incident Response,GH,-0.8178,-0.0796,0.0962,discovery,relay,team-neutral,team-neutral
Incident Response,Multi-language,0.0754,-0.0796,0.0640,discovery,synthesis,team-neutral,team-neutral
Incident Response,Distributed,0.3824,-0.0796,0.0567,discovery,synthesis,team-neutral,team-neutral
Incident Response,Code Review,0.3074,-0.0796,0.0562,discovery,relay,team-neutral,team-neutral
Incident Response,Testing,0.7596,-0.0796,0.0501,discovery,open_ended,team-neutral,team-neutral
Incident Response,Long-Horizon,,-0.0796,0.0467,discovery,synthesis,team-neutral,team-neutral
Incident Response,Specification,0.0419,-0.0796,0.0307,discovery,synthesis,team-neutral,team-neutral
Incident Response,Information Retrieval,0.2629,-0.0796,0.0087,discovery,discovery,team-neutral,team-neutral
Incident Response,Operations,0.3230,-0.0796,0.0011,discovery,relay,team-neutral,team-neutral
Incident Response,Adversarial,0.3657,-0.0796,-0.0016,discovery,adversarial,team-neutral,team-neutral
Incident Response,Negotiation,0.2140,-0.0796,-0.0232,discovery,open_ended,team-neutral,team-neutral
Incident Response,Security,0.4292,-0.0796,-0.0286,discovery,adversarial,team-neutral,team-neutral
Incident Response,Cross-System,0.1330,-0.0796,-0.0543,discovery,adversarial,team-neutral,team-neutral
Incident Response,Pipeline,0.6500,-0.0796,-0.0658,discovery,relay,team-neutral,team-neutral
Incident Response,Incident Response,1.0000,-0.0796,-0.0796,discovery,discovery,team-neutral,team-neutral
Incident Response,Data Engineering,0.3047,-0.0796,-0.0928,discovery,relay,team-neutral,team-neutral
Incident Response,Software Eng.,0.9992,-0.0796,-0.1203,discovery,relay,team-neutral,team-neutral
Incident Response,Integration,,-0.0796,-0.3000,discovery,relay,team-neutral,team-negative
Incident Response,DB,,-0.0796,-0.5000,discovery,relay,team-neutral,team-negative
Incident Response,DEVOPS,,-0.0796,-0.7500,discovery,relay,team-neutral,team-negative
Incident Response,API,,-0.0796,-1.0000,discovery,relay,team-neutral,team-negative
Data Engineering,DS,,-0.0928,0.7267,relay,relay,team-neutral,team-positive
Data Engineering,ML,,-0.0928,0.5462,relay,relay,team-neutral,team-moderate
Data Engineering,Policy,0.1575,-0.0928,0.1105,relay,open_ended,team-neutral,team-neutral
Data Engineering,GH,0.8322,-0.0928,0.0962,relay,relay,team-neutral,team-neutral
Data Engineering,Multi-language,-0.1507,-0.0928,0.0640,relay,synthesis,team-neutral,team-neutral
Data Engineering,Distributed,0.5357,-0.0928,0.0567,relay,synthesis,team-neutral,team-neutral
Data Engineering,Code Review,0.2790,-0.0928,0.0562,relay,relay,team-neutral,team-neutral
Data Engineering,Testing,0.3712,-0.0928,0.0501,relay,open_ended,team-neutral,team-neutral
Data Engineering,Long-Horizon,,-0.0928,0.0467,relay,synthesis,team-neutral,team-neutral
Data Engineering,Specification,0.0966,-0.0928,0.0307,relay,synthesis,team-neutral,team-neutral
Data Engineering,Information Retrieval,0.2224,-0.0928,0.0087,relay,discovery,team-neutral,team-neutral
Data Engineering,Operations,0.2811,-0.0928,0.0011,relay,relay,team-neutral,team-neutral
Data Engineering,Adversarial,0.3789,-0.0928,-0.0016,relay,adversarial,team-neutral,team-neutral
Data Engineering,Negotiation,0.1168,-0.0928,-0.0232,relay,open_ended,team-neutral,team-neutral
Data Engineering,Security,0.7180,-0.0928,-0.0286,relay,adversarial,team-neutral,team-neutral
Data Engineering,Cross-System,0.2801,-0.0928,-0.0543,relay,adversarial,team-neutral,team-neutral
Data Engineering,Pipeline,0.1787,-0.0928,-0.0658,relay,relay,team-neutral,team-neutral
Data Engineering,Incident Response,0.3047,-0.0928,-0.0796,relay,discovery,team-neutral,team-neutral
Data Engineering,Data Engineering,1.0000,-0.0928,-0.0928,relay,relay,team-neutral,team-neutral
Data Engineering,Software Eng.,0.3872,-0.0928,-0.1203,relay,relay,team-neutral,team-neutral
Data Engineering,Integration,,-0.0928,-0.3000,relay,relay,team-neutral,team-negative
Data Engineering,DB,,-0.0928,-0.5000,relay,relay,team-neutral,team-negative
Data Engineering,DEVOPS,,-0.0928,-0.7500,relay,relay,team-neutral,team-negative
Data Engineering,API,,-0.0928,-1.0000,relay,relay,team-neutral,team-negative
Software Eng.,DS,,-0.1203,0.7267,relay,relay,team-neutral,team-positive
Software Eng.,ML,,-0.1203,0.5462,relay,relay,team-neutral,team-moderate
Software Eng.,Policy,0.5338,-0.1203,0.1105,relay,open_ended,team-neutral,team-neutral
Software Eng.,GH,,-0.1203,0.0962,relay,relay,team-neutral,team-neutral
Software Eng.,Multi-language,-0.8904,-0.1203,0.0640,relay,synthesis,team-neutral,team-neutral
Software Eng.,Distributed,0.9350,-0.1203,0.0567,relay,synthesis,team-neutral,team-neutral
Software Eng.,Code Review,0.8135,-0.1203,0.0562,relay,relay,team-neutral,team-neutral
Software Eng.,Testing,-0.7011,-0.1203,0.0501,relay,open_ended,team-neutral,team-neutral
Software Eng.,Long-Horizon,,-0.1203,0.0467,relay,synthesis,team-neutral,team-neutral
Software Eng.,Specification,-0.9105,-0.1203,0.0307,relay,synthesis,team-neutral,team-neutral
Software Eng.,Information Retrieval,0.8904,-0.1203,0.0087,relay,discovery,team-neutral,team-neutral
Software Eng.,Operations,0.8506,-0.1203,0.0011,relay,relay,team-neutral,team-neutral
Software Eng.,Adversarial,0.9594,-0.1203,-0.0016,relay,adversarial,team-neutral,team-neutral
Software Eng.,Negotiation,0.6577,-0.1203,-0.0232,relay,open_ended,team-neutral,team-neutral
Software Eng.,Security,0.5559,-0.1203,-0.0286,relay,adversarial,team-neutral,team-neutral
Software Eng.,Cross-System,0.9942,-0.1203,-0.0543,relay,adversarial,team-neutral,team-neutral
Software Eng.,Pipeline,0.7869,-0.1203,-0.0658,relay,relay,team-neutral,team-neutral
Software Eng.,Incident Response,0.9992,-0.1203,-0.0796,relay,discovery,team-neutral,team-neutral
Software Eng.,Data Engineering,0.3872,-0.1203,-0.0928,relay,relay,team-neutral,team-neutral
Software Eng.,Software Eng.,1.0000,-0.1203,-0.1203,relay,relay,team-neutral,team-neutral
Software Eng.,Integration,,-0.1203,-0.3000,relay,relay,team-neutral,team-negative
Software Eng.,DB,,-0.1203,-0.5000,relay,relay,team-neutral,team-negative
Software Eng.,DEVOPS,,-0.1203,-0.7500,relay,relay,team-neutral,team-negative
Software Eng.,API,,-0.1203,-1.0000,relay,relay,team-neutral,team-negative
Integration,DS,,-0.3000,0.7267,relay,relay,team-negative,team-positive
Integration,ML,,-0.3000,0.5462,relay,relay,team-negative,team-moderate
Integration,Policy,,-0.3000,0.1105,relay,open_ended,team-negative,team-neutral
Integration,GH,,-0.3000,0.0962,relay,relay,team-negative,team-neutral
Integration,Multi-language,,-0.3000,0.0640,relay,synthesis,team-negative,team-neutral
Integration,Distributed,,-0.3000,0.0567,relay,synthesis,team-negative,team-neutral
Integration,Code Review,,-0.3000,0.0562,relay,relay,team-negative,team-neutral
Integration,Testing,,-0.3000,0.0501,relay,open_ended,team-negative,team-neutral
Integration,Long-Horizon,,-0.3000,0.0467,relay,synthesis,team-negative,team-neutral
Integration,Specification,,-0.3000,0.0307,relay,synthesis,team-negative,team-neutral
Integration,Information Retrieval,,-0.3000,0.0087,relay,discovery,team-negative,team-neutral
Integration,Operations,,-0.3000,0.0011,relay,relay,team-negative,team-neutral
Integration,Adversarial,,-0.3000,-0.0016,relay,adversarial,team-negative,team-neutral
Integration,Negotiation,,-0.3000,-0.0232,relay,open_ended,team-negative,team-neutral
Integration,Security,,-0.3000,-0.0286,relay,adversarial,team-negative,team-neutral
Integration,Cross-System,,-0.3000,-0.0543,relay,adversarial,team-negative,team-neutral
Integration,Pipeline,,-0.3000,-0.0658,relay,relay,team-negative,team-neutral
Integration,Incident Response,,-0.3000,-0.0796,relay,discovery,team-negative,team-neutral
Integration,Data Engineering,,-0.3000,-0.0928,relay,relay,team-negative,team-neutral
Integration,Software Eng.,,-0.3000,-0.1203,relay,relay,team-negative,team-neutral
Integration,Integration,1.0000,-0.3000,-0.3000,relay,relay,team-negative,team-negative
Integration,DB,,-0.3000,-0.5000,relay,relay,team-negative,team-negative
Integration,DEVOPS,,-0.3000,-0.7500,relay,relay,team-negative,team-negative
Integration,API,,-0.3000,-1.0000,relay,relay,team-negative,team-negative
DB,DS,,-0.5000,0.7267,relay,relay,team-negative,team-positive
DB,ML,,-0.5000,0.5462,relay,relay,team-negative,team-moderate
DB,Policy,,-0.5000,0.1105,relay,open_ended,team-negative,team-neutral
DB,GH,,-0.5000,0.0962,relay,relay,team-negative,team-neutral
DB,Multi-language,,-0.5000,0.0640,relay,synthesis,team-negative,team-neutral
DB,Distributed,,-0.5000,0.0567,relay,synthesis,team-negative,team-neutral
DB,Code Review,,-0.5000,0.0562,relay,relay,team-negative,team-neutral
DB,Testing,,-0.5000,0.0501,relay,open_ended,team-negative,team-neutral
DB,Long-Horizon,,-0.5000,0.0467,relay,synthesis,team-negative,team-neutral
DB,Specification,,-0.5000,0.0307,relay,synthesis,team-negative,team-neutral
DB,Information Retrieval,,-0.5000,0.0087,relay,discovery,team-negative,team-neutral
DB,Operations,,-0.5000,0.0011,relay,relay,team-negative,team-neutral
DB,Adversarial,,-0.5000,-0.0016,relay,adversarial,team-negative,team-neutral
DB,Negotiation,,-0.5000,-0.0232,relay,open_ended,team-negative,team-neutral
DB,Security,,-0.5000,-0.0286,relay,adversarial,team-negative,team-neutral
DB,Cross-System,,-0.5000,-0.0543,relay,adversarial,team-negative,team-neutral
DB,Pipeline,,-0.5000,-0.0658,relay,relay,team-negative,team-neutral
DB,Incident Response,,-0.5000,-0.0796,relay,discovery,team-negative,team-neutral
DB,Data Engineering,,-0.5000,-0.0928,relay,relay,team-negative,team-neutral
DB,Software Eng.,,-0.5000,-0.1203,relay,relay,team-negative,team-neutral
DB,Integration,,-0.5000,-0.3000,relay,relay,team-negative,team-negative
DB,DB,1.0000,-0.5000,-0.5000,relay,relay,team-negative,team-negative
DB,DEVOPS,,-0.5000,-0.7500,relay,relay,team-negative,team-negative
DB,API,,-0.5000,-1.0000,relay,relay,team-negative,team-negative
DEVOPS,DS,,-0.7500,0.7267,relay,relay,team-negative,team-positive
DEVOPS,ML,,-0.7500,0.5462,relay,relay,team-negative,team-moderate
DEVOPS,Policy,,-0.7500,0.1105,relay,open_ended,team-negative,team-neutral
DEVOPS,GH,,-0.7500,0.0962,relay,relay,team-negative,team-neutral
DEVOPS,Multi-language,,-0.7500,0.0640,relay,synthesis,team-negative,team-neutral
DEVOPS,Distributed,,-0.7500,0.0567,relay,synthesis,team-negative,team-neutral
DEVOPS,Code Review,,-0.7500,0.0562,relay,relay,team-negative,team-neutral
DEVOPS,Testing,,-0.7500,0.0501,relay,open_ended,team-negative,team-neutral
DEVOPS,Long-Horizon,,-0.7500,0.0467,relay,synthesis,team-negative,team-neutral
DEVOPS,Specification,,-0.7500,0.0307,relay,synthesis,team-negative,team-neutral
DEVOPS,Information Retrieval,,-0.7500,0.0087,relay,discovery,team-negative,team-neutral
DEVOPS,Operations,,-0.7500,0.0011,relay,relay,team-negative,team-neutral
DEVOPS,Adversarial,,-0.7500,-0.0016,relay,adversarial,team-negative,team-neutral
DEVOPS,Negotiation,,-0.7500,-0.0232,relay,open_ended,team-negative,team-neutral
DEVOPS,Security,,-0.7500,-0.0286,relay,adversarial,team-negative,team-neutral
DEVOPS,Cross-System,,-0.7500,-0.0543,relay,adversarial,team-negative,team-neutral
DEVOPS,Pipeline,,-0.7500,-0.0658,relay,relay,team-negative,team-neutral
DEVOPS,Incident Response,,-0.7500,-0.0796,relay,discovery,team-negative,team-neutral
DEVOPS,Data Engineering,,-0.7500,-0.0928,relay,relay,team-negative,team-neutral
DEVOPS,Software Eng.,,-0.7500,-0.1203,relay,relay,team-negative,team-neutral
DEVOPS,Integration,,-0.7500,-0.3000,relay,relay,team-negative,team-negative
DEVOPS,DB,,-0.7500,-0.5000,relay,relay,team-negative,team-negative
DEVOPS,DEVOPS,1.0000,-0.7500,-0.7500,relay,relay,team-negative,team-negative
DEVOPS,API,,-0.7500,-1.0000,relay,relay,team-negative,team-negative
API,DS,,-1.0000,0.7267,relay,relay,team-negative,team-positive
API,ML,,-1.0000,0.5462,relay,relay,team-negative,team-moderate
API,Policy,,-1.0000,0.1105,relay,open_ended,team-negative,team-neutral
API,GH,,-1.0000,0.0962,relay,relay,team-negative,team-neutral
API,Multi-language,,-1.0000,0.0640,relay,synthesis,team-negative,team-neutral
API,Distributed,,-1.0000,0.0567,relay,synthesis,team-negative,team-neutral
API,Code Review,,-1.0000,0.0562,relay,relay,team-negative,team-neutral
API,Testing,,-1.0000,0.0501,relay,open_ended,team-negative,team-neutral
API,Long-Horizon,,-1.0000,0.0467,relay,synthesis,team-negative,team-neutral
API,Specification,,-1.0000,0.0307,relay,synthesis,team-negative,team-neutral
API,Information Retrieval,,-1.0000,0.0087,relay,discovery,team-negative,team-neutral
API,Operations,,-1.0000,0.0011,relay,relay,team-negative,team-neutral
API,Adversarial,,-1.0000,-0.0016,relay,adversarial,team-negative,team-neutral
API,Negotiation,,-1.0000,-0.0232,relay,open_ended,team-negative,team-neutral
API,Security,,-1.0000,-0.0286,relay,adversarial,team-negative,team-neutral
API,Cross-System,,-1.0000,-0.0543,relay,adversarial,team-negative,team-neutral
API,Pipeline,,-1.0000,-0.0658,relay,relay,team-negative,team-neutral
API,Incident Response,,-1.0000,-0.0796,relay,discovery,team-negative,team-neutral
API,Data Engineering,,-1.0000,-0.0928,relay,relay,team-negative,team-neutral
API,Software Eng.,,-1.0000,-0.1203,relay,relay,team-negative,team-neutral
API,Integration,,-1.0000,-0.3000,relay,relay,team-negative,team-negative
API,DB,,-1.0000,-0.5000,relay,relay,team-negative,team-negative
API,DEVOPS,,-1.0000,-0.7500,relay,relay,team-negative,team-negative
API,API,1.0000,-1.0000,-1.0000,relay,relay,team-negative,team-negative
